Timestamp	Face 1	Face 2	Face 3	Face 4	Face 5	Face 6	Face 7	Face 8	Face 9	Face 10	What is the better name for the shape on the left?	Who dis?	Best name for an evil kid?
1/23/2021 16:12:38	Penny	Luis 	Charli	Ken	Justin	Miranda	Ted	Mark	Linda	Sarah	Takete	Reggie	Sampson
1/23/2021 16:13:42	Beth	Jonathan 	Skye	Thomas	Martyn	Julie	Bob	Ric	Maggie	Karen	Takete		Mason
1/23/2021 16:15:37	Amanda	Robert	Ivanka		Jim	Lou	Mark	Jose	Wilma	Sandra	Takete		Vik
1/23/2021 16:23:02		Mike	Meghan	Kevin	Douglas	Suzi	Jelte	Malcolm	Bertha	Lizanne	Takete	Melchior	Shadowfax
1/23/2021 16:37:10	Lucy	Joe	Aubrey	Steve	Jared	Elaine	Chuck	Anthony	Deborah	Kelly	Takete	Chad	Stuart
1/23/2021 16:38:02	Julie	Omar	Tiffany	Bert	Mitch	Liu	Dirk	Kareem	Josephine	Margaret		Casey	Todd
1/23/2021 16:42:27	Élodie	Franck	Zoé	Michel	Alain	Deborah	Patrick	Robert	Jeannine	Carole	Takete	Bobby	Kevin
1/23/2021 16:42:59	Riley	Ahmad	Jennifer	Ryan	Merritt	Amy	Paul		Paula		Takete	Arnold	
1/23/2021 16:43:36	Elisa	Jeremy	Kim	Ralph	Mark	Chu	Rick		Margareth	Petra	Takete	Joe	Simon
1/23/2021 16:45:02	Bethany	Robert	Courtney	David	Stephen	Julie	Jonathan	Sanjay	Geraldine	Marie	Takete		
1/23/2021 16:45:42	Emma	Robert	Sara	Robert	Frank	Susan	Jacob	Marc	Betty	Claire	Takete	Joe	Wesley
1/23/2021 16:47:16	Minny	Pete	Sharon	Jack	Thomas	Cindy	Paul	Andrew	Joan	Erica	Takete	JJ	Christopher
1/23/2021 16:47:32	Phoebe	Huib	Fallon	Olaf	Reindert	Phang Phang Lang	Friso	Dwight	Ria	Halleh	Takete	Sniep	Aldert
1/23/2021 16:48:12	Lynn	Najib	Natalee	Bob	Paul	Jessica	Mike	Daren	Margret	Matilda	Takete	Leo	Donnie
1/23/2021 16:50:22	Siobhan	Don	Carly	Richard	Charles	Beth	David	Christian	Janice	Delores 	Maluma	He looks homeless, I’ll call him Matthew	Is Damien too cliche?
1/23/2021 16:51:01	Jenny	Oscar	Becky	Charlie	Dominic	Sarah	Dave	Hugh	Doris	Margaret	Takete	Carl	Eli
1/23/2021 17:00:13	Beth	Paolo	Susan	Brad	Michael	Stephanie	Hans	Tariq	Ethel	Penelope	Equally fitting	DJ butternutzz	Malachi Badson
1/23/2021 17:09:33	Sarah	Johnny	Chloe	Matthew	Mark	Linda	Robert		Margaret	Nancy	Takete	Boner	Lucifer
1/23/2021 17:16:24	Melissa 	Skebep Bernardo	Lisa Hondenbrok	Matt Stophoest	William Fruitjurk	Mandy Microkrediet	Peter Larking	Guut Rullit	Trudy Hostipasta	Mary Slee	Takete	Melvin Berentuig	Joe Snoepgigant
1/23/2021 17:17:20	Yuki	Ryan	Megan	Steve	Mark	Jennifer 	Gordan	Alexander	Shirley	Rita	Takete	Jason	Wesley
1/23/2021 17:25:26	Victoria	Marcelo	Heather	Hakim	Jeremy	Anita	Doug	Danny	Hellen	Rebecca	Equally fitting	Malcom	Maddison
1/23/2021 17:26:42	Anna	Michael	Ellen	Kent	Ronnie	Susan	Patrick	Hank	Kelly	Katy	Takete		
1/23/2021 17:30:08											Takete	Logan paul	Eleven 
1/23/2021 17:33:21	Jill	Michael	Elizabeth	Dan	Paul	Susan	Mark		Jan		Takete	Lil bubbly	Satan
1/23/2021 17:34:10	Lizzie	Marcus	Amanda	George	Christopher	Connie	William	Jordan	Debbie	Judith	Takete	Pinky	Dante
1/23/2021 17:41:57	Miruna	Bob	Janey	John	Jarred	Samantha/Abigail	Eric	Houston	Evelynn	Sherley	Takete	Jake	Rubie
1/23/2021 17:46:37	emma	jamie	laura	jim	nick	flora	bob	alex	sarah	sophie	Takete	dan	edward
1/23/2021 17:47:01	Emma	Giovanni 	Sarah	Marc	Robert		Rupert	James	Ruth	Beth	Takete	Leonard	Joe Smork
1/23/2021 17:47:03	Ana	Peter	Stephanie	George	Micheal	Elaine	Roger		Sylvia		Maluma	Carl	Spencer
1/23/2021 17:48:24	Jenna	Amir	Anna	Raymond	James	Patricia	Jim	Lester	Sue	Cathrin	Takete	This is Logan Paul. 	Timothy 
1/23/2021 17:52:12	Jenna	Graham	Cindy	Mark	Garry	Melissa	George	Michael	Doris	Margaret	Takete	Logan Paul	Eduardo
1/23/2021 17:54:14	Ellen	George	Kelly	Bob	Wopke	Sophia	Mike	Adam	Betty	Elizabeth	Maluma	Bobby	Evan
1/23/2021 17:59:26	Edith	Paul	Laura 	Macron or Carl	Mark	Christina	Mike	Paulo	Ann-Marie	Margaret	Takete	Jake Paul	Daniel
1/23/2021 18:01:16	Marie	Jonathan	Chrissi	Bobby	Ralph	SunTzu	Henry	Paul	Angela	Monica	Takete	Logan 	The last thing my Twinkie sees before being eaten
1/23/2021 18:01:34	Clara	David	Maria	Harry	Rodrigo	Jessica	Daniel	John	Ann-Christin	Eva	Takete	Shaz	Bently
1/23/2021 18:02:04	Riley	Ahmad	Jennifer	Ryan	Merritt	Amy	Paul		Paula		Takete	Arnold	
1/23/2021 18:02:04	Emma, Charlotte	Moe, Sam	Tiffany, Georgia	Ben, Mark	Steve	Angela	Bill	Omar	Linda, Kathy	Marion, Juliet	Takete	Charlie the Wizard	Kevin
1/23/2021 18:05:14	Alexis	Duncan	Sabrina	Joe	Alex	Vanessa	Hank	Robert	Genevieve 	Rosa	Takete	Logan Paul	Martin
1/23/2021 18:06:02	Iris	Nicholas	Shellie	Robert	Sean	Kelly	Dwayne	James	Stacey	Georgia 	Takete	Andrew	Dan
1/23/2021 18:06:48	Emma	Jacob	Sarah	Michael	Matthew	Rosalie	Greg	Sean	Elizabeth	Julie	Takete	Marshall	Leeroy
1/23/2021 18:08:56	Cindy	Alan	Kathrynn	Wallid	Bruce	Katrina	Frank	Bosan	Elisabeth	Hermione	Takete	Happy von Damnit	Esteban
1/23/2021 18:11:41	Beth	Robert	Erin	Joseph	Garth	Zoey	Ralph	Ned	Dorothy	Robin	Equally fitting	Jake Paul	Tim
1/23/2021 18:13:16	Jessica	Mark	Lori	James	Tom	Shaneen	Richard	Carlos	Doreen	Fiona	Takete	Jake Paul	Jason
1/23/2021 18:13:46	Grace	Michael 	Kelly	John	Tom	Karen	Donald 	Jeremy	Gilda	Ruth	Takete	Offbrand Tony Hawk	Max
1/23/2021 18:16:10	Lucy	Donovan	Kelly	Mike	George	Stella	Frank	James	Helen	Meredith		Jake Paul	Bradley
1/23/2021 18:16:59	Amy	José	Katrina	Bill	Tom	Nicky	Peter		Annick	Sophie	Takete	Logan	Dennis
1/23/2021 18:21:12	Sophia	Bruce	Betty	Paul	Mike	Jesse	Bernard	Garry	Suzanne	Therese	Takete	Chad	Lucius
1/23/2021 18:33:14	Anne	Mohammed	Elisa	Kevin	John	Lisa	Henk		Elizabeth 		Takete		
1/23/2021 18:33:45	Sarah 	Karim	Joanne 	David	Brian	Alicia	Jan	Jacob	Bernadette	Marie	Takete	Gorsh	Billy
1/23/2021 18:34:00	Anna	David	Megan	Mark	James	Luisa	Fred	Andrew	Brenda	Hillary	Takete	Pete	Damon
1/23/2021 18:34:02	Heather	Mark	Britney	Adam	John	Kate	Matt	Jaime	Gretta	Elizabeth	Takete	Asher	Connor
1/23/2021 18:34:03	Lisa	Irwin	Ivanka	Paul	Tony	Sara	Josh	Gabriel 	Martha	Lindsey	Takete	Jake Paul	Tony
1/23/2021 18:34:42	Maddy	George	Bethany	Michael	John	Caroline	Mick	Chris	Pauline	Mary	Takete	Denny	Liam
1/23/2021 18:35:01	Helen Landler	Timothy Brawburn	Elizabeth North	Peter Justlin	Abraham Good	Naomi Lerr	Kevin Beeder	Mohammed Afsazi	Margaret Toner	Karen Potter	Takete	Charles LeCronch	Gopi Naran
1/23/2021 18:35:29	Josie	David	Fiona	John	Matthew	Tina	Bob	Jeremy			Takete		
1/23/2021 18:36:44	Abbey	Ronnie	Jenny	Justin	Tim	Jannet	Gary	Moe	Barbra 	Stephanie	Takete	Kyle	Jake
1/23/2021 18:36:54	Anna	Richard	Stacey	Frank	John	Amanda	David				Takete		
1/23/2021 18:36:57	Ruth	David	Laura	James	Enrique	Jillian	Keith	Jack	Muriel	Elizabeth	Takete	Larry	Damien
1/23/2021 18:37:50	Brianna	Michael	Shauna	Tim	Greg	Amy	Robert	Tony	Linda	Diane	Takete	Josh	Damien
1/23/2021 18:38:25	Claire	Steve	Savannah	Martin	Thomas	Gillian	Harry	Robert	Harriet	Julia	Takete	Steve	Gabe
1/23/2021 18:38:55	Lydia	Kenneth	Melody	Rob	Joost	Kaleigh	Bert	Edgar	Sylvia	Sharon	Takete	Gijs	Fred
