Timestamp	Did you participate in part I?	Face 1	Face 2	Face 3	Face 4	Face 5	Face 6	Face 7	Face 8	Face 9	Face 10	Person that exists
1/24/2021 3:42:36	Yes	Carrie	David	Brittany	Rick	Robert	Michelle	Richard	Seth	Susan	Margaret	Brad
1/24/2021 3:44:46	Yes	Sarah	David	Brittany	Rick	Bob	Sandy	Richard	Eric	Susan	Marianne	Tyler
1/24/2021 3:44:53	Yes	Carrie	David	Brittany	Michael	Robert	Hannah	Richard	James	Susan	Margaret	
1/24/2021 3:45:02	No	Sarah	Michael	Brittany	Doug	John	Michelle	Richard	Marcus	Susan	Marianne	josh
1/24/2021 3:45:15	Yes	Sarah	Michael	Brittany	Doug	John	Michelle	Richard	Marcus	Susan	Marianne	Todd
1/24/2021 3:48:01	No	Carrie	David	Brittany	Michael	John	Michelle	Richard	Marcus	Gillian	Marianne	Derek
1/24/2021 3:48:02	Yes	Sarah	David	Brittany	Doug	Robert	Mindy	Richard	Marcus	Susan	Margaret	John
1/24/2021 3:50:08	No	Sarah	David	Jessica	Rick	Robert	Mindy	Richard	Eric	Gillian	Margaret	Gideon, Marcus, or Daithi :)
1/24/2021 3:50:48	No	Evelyn	David	Jessica	Doug	Bob	Michelle	Gordon	Marcus	Susan	Monica	James
1/24/2021 3:51:39	Yes	Carrie	David	Jessica	Michael	John	Michelle	Gordon	Marcus	Susan	Margaret	Keith
1/24/2021 3:53:59	No	Sarah	David	Brittany	Doug	Robert	Helen	Gordon	Seth	Gillian	Margaret	
1/24/2021 3:55:11	No	Lynn	Michael	Brittany	Doug	Patrick	Michelle	Joey	Eric	Harriet	Margaret	
1/24/2021 3:56:14	No	Sarah	Michael	Caitlyn	Doug	John	Michelle	Peter	James	Claire	Margaret	Opie (get it, “OP”?!).  Rich or Seth?
1/24/2021 3:57:20	No	Evelyn	Enrique	Linda	Doug	John	Mindy	Joey	Seth	Harriet	Margaret	Victor
1/24/2021 3:58:42	No	Carrie	Michael	Brittany	Michael	Ilgar	Michelle	Gordon	Marcus	Gillian	Margaret	Jake
1/24/2021 4:00:27	Yes	Lynn	David	Brittany	Michael	Robert	Mindy	Gordon	James	Susan	Megan	Dallas
